1,2,3
1,3,4
3,5,6
4,3,7
7,3,6
8,9,10
10,9,4
11,9,8
11,8,12
10,13,8
4,13,10
4,7,13
7,6,14
4,15,1
16,1,15
17,18,16
19,20,4
13,14,8
5,21,6
4,9,22
23,3,2
13,7,14
21,5,24
25,14,6
23,2,1
26,5,3
27,24,28
29,24,5
17,16,15
22,19,4
30,1,16
31,12,8
32,33,34
35,36,37
38,33,32
27,21,24
14,39,8
36,35,33
32,40,38
41,9,11
4,42,15
43,11,12
44,25,6
45,28,24
40,32,46
47,16,18
48,4,20
9,49,22
6,21,50
3,23,26
32,51,46
4,52,42
8,39,53
35,54,33
32,34,55
1,56,23
5,26,29
33,54,34
9,57,49
58,46,59
58,59,60
61,39,14
62,18,17
63,33,38
1,30,56
64,40,46
8,53,31
65,36,33
38,40,63
66,37,36
67,14,25
68,40,64
9,69,57
6,50,44
46,58,64
70,20,19
71,27,28
72,58,60
64,58,68
24,29,45
40,68,63
4,48,52
9,41,69
12,31,73
16,47,30
33,63,74
75,76,77
78,35,37
12,73,43
79,51,32
11,43,41
68,58,80
46,81,59
34,54,82
83,17,15
28,45,84
85,21,27
25,44,67
86,75,87
32,55,79
88,19,22
18,62,47
46,51,89
75,77,90
36,65,91
92,61,14
36,91,66
75,86,93
94,33,74
28,84,71
20,70,48
87,75,90
33,95,65
96,60,59
68,80,97
58,98,80
99,15,42
68,100,63
101,54,35
74,63,102
103,55,34
77,76,104
37,66,78
105,39,61
33,94,95
59,81,106
14,67,107
17,83,62
34,82,103
108,58,72
109,22,49
110,76,75
27,71,85
111,72,60
77,112,113
75,93,114
19,88,70
115,50,21
116,77,113
117,42,52
46,89,118
58,119,98
14,107,92
120,26,23
86,87,121
122,53,39
112,77,123
77,104,124
125,29,26
126,49,57
59,106,96
63,127,102
128,23,56
35,78,101
77,124,129
21,85,130
77,116,131
132,89,51
80,133,97
104,76,134
129,123,77
135,81,46
15,99,83
90,136,87
58,137,119
138,57,69
139,112,123
140,45,29
141,56,30
142,31,53
51,79,132
61,92,105
22,109,88
143,90,77
75,114,110
144,82,54
145,44,50
146,147,76
94,74,148
149,68,97
58,108,137
150,52,48
151,93,86
21,130,115
60,96,111
77,131,152
153,69,41
42,117,99
46,118,135
154,73,31
155,76,147
156,30,47
68,149,100
157,84,45
39,105,122
80,158,133
159,41,43
159,43,73
86,121,151
72,111,108
160,74,102
161,63,100
55,103,162
124,104,163
139,164,165
26,120,166
49,126,109
26,166,125
77,152,143
164,139,123
23,167,120
168,91,65
169,67,44
170,80,98
156,47,62
168,66,91
23,128,167
129,124,171
63,161,127
172,113,112
54,101,144
173,65,95
171,123,129
29,125,140
52,150,117
174,112,139
175,79,55
104,134,163
57,138,126
176,71,84
155,134,76
53,122,142
76,110,146
87,136,177
178,48,70
56,141,128
50,115,145
179,116,113
74,160,148
180,106,81
149,97,133
80,170,158
181,118,89
69,153,138
182,139,165
45,140,157
160,102,127
124,163,171
31,142,154
183,136,90
184,103,82
185,121,87
186,62,83
187,95,94
30,156,141
179,131,116
188,107,67
189,85,71
90,143,190
89,132,181
41,191,153
192,78,66
41,159,191
55,162,175
73,154,159
81,135,180
44,145,169
48,178,150
84,157,176
193,114,93
188,92,107
93,151,194
195,130,85
196,98,119
123,197,164
147,146,198
199,70,88
65,173,168
200,96,106
112,201,172
112,174,201
90,190,183
82,144,184
87,177,185
202,83,99
203,94,148
204,165,164
62,186,156
134,205,163
95,206,173
113,172,179
207,155,147
208,152,131
139,182,174
134,155,209
71,176,189
199,88,109
98,210,170
211,105,92
67,169,188
147,198,212
213,132,79
66,168,192
70,214,178
95,187,206
215,101,78
216,119,137
217,135,118
218,123,171
219,133,158
100,220,161
163,221,171
147,222,207
220,100,149
223,111,96
147,212,222
224,225,226
93,194,193
227,99,117
106,180,200
85,189,195
165,204,182
228,225,229
230,151,121
231,137,108
83,202,186
232,110,114
118,181,217
98,196,210
233,177,136
234,122,105
235,162,103
70,199,214
236,115,130
131,179,237
225,228,238
239,228,240
241,108,111
94,203,187
242,109,126
226,225,238
123,218,197
243,143,152
244,166,120
79,175,213
127,245,160
246,120,167
247,134,209
248,127,161
133,219,149
