1,2,3
4,1,3
5,6,7
7,8,9
8,7,6
8,10,9
10,8,11
12,13,14
13,12,15
13,16,14
16,13,17
17,18,16
19,5,7
5,19,20
7,21,19
21,7,9
9,22,21
9,10,22
12,23,24
23,12,14
14,25,23
14,16,25
16,26,25
26,16,18
20,19,27
24,28,29
24,30,28
30,24,23
23,31,30
31,23,25
26,31,25
19,21,32
21,22,32
33,29,28
28,34,33
28,30,34
30,31,34
19,32,35
36,32,22
37,34,38
38,34,31
39,40,41
35,32,42
43,40,39
44,42,32
32,45,44
46,47,48
49,50,51
51,52,49
53,54,55
56,57,58
59,55,54
56,60,57
60,56,61
62,60,61
60,62,63
49,52,64
65,52,66
55,67,53
57,68,58
57,69,68
69,57,60
69,60,63
70,71,72
71,70,73
70,74,73
75,73,74
74,76,75
76,2,77
78,77,2
79,77,78
65,64,52
80,81,82
83,72,71
83,84,72
72,84,70
85,70,84
70,85,74
86,74,85
74,86,76
86,2,76
2,86,3
2,1,78
87,78,1
78,87,79
88,79,87
89,90,6
8,90,91
90,8,6
92,8,91
8,92,11
92,93,11
94,95,96
97,84,83
84,98,85
98,84,97
99,85,98
85,99,86
4,86,99
86,4,3
100,101,15
1,4,102
13,101,103
101,13,15
104,13,103
13,104,17
105,1,102
105,87,1
106,17,104
105,88,87
88,105,107
89,5,108
5,89,6
11,93,10
93,109,10
110,98,111
98,110,99
99,110,4
112,15,12
15,112,100
102,110,113
110,102,4
114,102,113
102,114,105
17,106,18
107,105,114
115,18,106
20,108,5
108,20,116
117,10,109
111,118,119
112,24,120
110,111,119
12,24,112
110,121,113
122,113,121
113,122,114
123,114,122
26,115,124
115,26,18
27,116,20
10,125,22
125,10,117
117,126,125
127,128,64
129,130,131
132,131,130
131,132,118
133,120,134
132,119,118
134,24,29
24,134,120
38,119,132
119,38,110
121,110,38
121,31,122
26,122,31
122,26,123
123,26,124
135,136,137
138,136,135
27,139,116
22,140,36
22,125,140
125,141,140
141,125,126
126,142,141
143,144,145
144,143,146
146,143,147
129,147,148
37,129,148
129,37,130
37,132,130
37,38,132
134,149,150
149,134,29
29,33,149
38,31,121
151,137,41
137,39,41
39,137,136
136,152,39
136,138,152
152,138,139
139,153,152
139,27,153
35,153,27
35,27,19
32,36,154
36,155,154
155,36,140
140,141,155
142,156,141
157,145,144
157,158,145
145,158,143
159,143,158
143,159,147
148,147,159
133,160,161
160,133,134
160,134,150
150,162,160
162,150,149
149,34,162
34,149,33
151,163,164
163,151,41
